Gorod_PP_sokr;Город_ПП;ID;Год_Поступления;КодФакультета;Город_УЗ;Тип_УЗ;Пол;Основания;Изучаемый_Язык;Страна_ПП;Регион_ПП;Общежитие;Страна_Родители;Село;Иностранец;ЕГЭ;Общий балл;Тип паузы после УЗ;Месяц рождения;Наличие_Матери;Наличие_Отца;Статус;Код_группы;God_GR;Vozrast_to_VUS;Количество поступавших из города
малое поселение;Шумановка;65341;2014;51.0;Алтайский Край;средняя школа;Жен;СН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;52;поступил сразу;07;0;0.0;3;17004;1996;18;3
Барнаул;Барнаул;55412;2013;26.0;иное;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;1;Казахстан;0.0;1.0;1;72;поступил сразу;10;0;0.0;4;19233;1995;17.75;6861
малое поселение;Циндао;73267;2015;24.0;Китай;средняя школа;Муж;СН;Английский язык;Китай;Шаньдун провинция;1;Китай;0.0;1.0;1;42;поступил сразу;06;0;0.0;3;17194;1995;20.0833333333333;1
Барнаул;Барнаул;70228;2015;25.0;Барнаул;ФГБОУ ВО;Жен;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;86;поступил сразу;03;0;0.0;4;17284;1994;21.3333333333333;6861
Барнаул;Барнаул;75327;2016;27.0;Барнаул;ФГБОУ ВО;Муж;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;73;поступил сразу;08;1;1.0;4;18493;1993;22.8333333333333;6861
Барнаул;Барнаул;84857;2018;27.0;Барнаул;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;73;поступил сразу;04;1;1.0;-1;21909;1996;22.1666666666667;6861
Барнаул;Барнаул;47592;2012;34.0;иное;Лицей;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;75;поступил сразу;11;1;1.0;4;14951;1994;17.6666666666667;6861
Барнаул;Барнаул;81783;2017;41.0;Барнаул;средняя школа;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;69.705;поступил сразу;07;1;1.0;4;20925;2001;16;6861
Барнаул;Барнаул;49583;2013;25.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;65;поступил сразу;05;0;0.0;3;19785;1995;18.0833333333333;6861
Топчиха;Топчиха;86109;2018;41.0;Алтайский Край;средняя школа;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;63;поступил сразу;12;1;1.0;4;21236;2000;17.5833333333333;26
Барнаул;Барнаул;55981;2013;28.0;Барнаул;средняя школа;Муж;ОО;Французский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;60;поступил сразу;03;0;0.0;3;16128;1995;18.3333333333333;6861
малое поселение;Знаменка;63567;2013;25.0;Барнаул;Колледж;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;54;от 5 до 10 лет;08;1;1.0;4;18093;1984;28.9166666666667;1
Барнаул;Барнаул;54308;2013;51.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;48;поступил сразу;10;0;0.0;3;13855;1995;17.75;6861
Барнаул;Барнаул;84249;2017;26.0;Барнаул;ФГБОУ ВО;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;36;поступил сразу;07;1;1.0;4;20889;1995;21.9166666666667;6861
Барнаул;Барнаул;66055;2014;35.0;иное;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;85;поступил сразу;07;0;0.0;4;18229;1996;18;6861
малое поселение;Волчно;68290;2014;26.0;Барнаул;ФГБОУ ВО;Жен;СН;Французский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;60;поступил сразу;02;0;0.0;3;15476;1992;22.4166666666667;4
Санниково;Санниково;47587;2012;34.0;иное;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;75;поступил сразу;07;1;1.0;4;14981;1994;18;17
Бийск;Бийск;59688;2013;45.0;Горно-Алтайск;Колледж;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;не указано;1;70;поступил сразу;06;0;0.0;3;12812;1994;19.0833333333333;540
Славгород;Славгород;63508;2013;25.0;Алтайский Край;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;52;поступил сразу;06;1;1.0;4;18074;1995;18.0833333333333;129
Яровое;Яровое;63570;2013;25.0;Алтайский Край;техникум;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;53;от 5 до 10 лет;11;1;1.0;4;18092;1981;31.6666666666667;50
Барнаул;Барнаул;44809;2012;25.0;не указано;не указано;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;63;нет данных об обучении до ВУЗа;05;1;1.0;4;14705;1994;18.1666666666667;6861
Барнаул;Барнаул;49256;2013;27.0;Барнаул;техникум;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;58;свыше 10 лет;07;0;0.0;3;11864;1963;50;6861
малое поселение;Троицк;70656;2015;25.0;Алтайский Край;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;53;два года;11;0;0.0;3;17260;1994;20.6666666666667;5
Заринск;Заринск;65230;2014;34.0;Заринск;средняя школа;Жен;ОО;Немецкий язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;70;поступил сразу;08;0;0.0;4;18402;1996;17.8333333333333;129
Новоалтайск;Новоалтайск;57260;2010;51.0;Алтайский Край;Училище;Муж;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;90;свыше 10 лет;06;1;1.0;4;16944;1973;37;398
малое поселение;Победим;65044;2014;40.0;Алтайский Край;средняя школа;Жен;ЦН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;72.99;поступил сразу;01;0;0.0;4;18191;1997;17.5;4
Черепаново;Черепаново;67595;2014;41.0;Новосибирск;средняя школа;Муж;СН;Английский язык;Россия;Новосибирская обл;1;Россия;0.0;0.0;0;52.5;поступил сразу;12;0;0.0;3;14356;1995;18.5833333333333;6
Барнаул;Барнаул;77025;2016;41.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;72.99;поступил сразу;05;1;1.0;3;17868;1998;18.1666666666667;6861
Ребриха;Ребриха;56073;2013;28.0;Барнаул;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;88;поступил сразу;12;0;0.0;3;13530;1990;22.5;35
Барнаул;Барнаул;68652;2014;26.0;Барнаул;Колледж;Муж;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;41;один год;09;0;0.0;4;18224;1990;23.75;6861
Барнаул;Барнаул;65175;2014;51.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;76;поступил сразу;01;0;0.0;4;18194;1996;18.5;6861
Барнаул;Барнаул;76626;2016;24.0;Казахстан;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;76;поступил сразу;12;1;1.0;4;20642;1997;18.5833333333333;6861
Курья;Курья;88305;2018;26.0;Барнаул;ФГБОУ ВО;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;60;поступил сразу;04;1;1.0;4;21742;1992;26.1666666666667;15
Горняк;Горняк;78572;2016;26.0;Барнаул;ФГБОУ ВО;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;58;один год;01;1;1.0;3;18612;1992;24.5;44
Барнаул;Барнаул;81652;2017;35.0;Барнаул;ФГБОУ ВО;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;81;поступил сразу;11;1;1.0;4;19837;1994;22.6666666666667;6861
Барнаул;Барнаул;46101;2012;51.0;не указано;не указано;Жен;СН;нет данных;Россия;Алтайский край;0;Россия;0.0;0.0;1;54;нет данных об обучении до ВУЗа;01;1;1.0;4;15166;1995;17.5;6861
малое поселение;Дубровино;81922;2017;41.0;Алтайский Край;иное;Жен;ДН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;66.165;поступил сразу;09;1;1.0;4;20923;2001;15.8333333333333;3
Барнаул;Барнаул;69775;2015;51.0;Барнаул;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;55;поступил сразу;09;0;0.0;4;19475;1997;17.75;6861
Барнаул;Барнаул;75733;2016;25.0;Барнаул;ФГБОУ ВО;Муж;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;48;поступил сразу;11;1;1.0;3;19879;1996;19.5833333333333;6861
Бийск;Бийск;65113;2014;27.0;Бийск;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;53;один год;04;0;0.0;3;19536;1996;18.25;540
Барнаул;Барнаул;55356;2013;26.0;иное;средняя школа;Жен;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;99;поступил сразу;04;0;0.0;4;17117;1996;17.25;6861
Барнаул;Барнаул;78437;2016;41.0;Барнаул;средняя школа;Муж;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;61.755;поступил сразу;06;1;1.0;4;20727;2000;16.0833333333333;6861
Барнаул;Барнаул;86623;2018;24.0;Барнаул;ФГБОУ ВО;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;80;поступил сразу;10;1;1.0;4;21022;1996;21.75;6861
Зыряновск;Зыряновск;71841;2015;26.0;Казахстан;средняя школа;Муж;ДН;Английский язык;Казахстан;Казахстан;0;Казахстан;0.0;1.0;1;65;поступил сразу;07;0;0.0;3;15762;1997;18;12
Бийск;Бийск;87823;2018;25.0;Барнаул;ФГБОУ ВО;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;40;поступил сразу;02;1;1.0;4;21829;1996;22.4166666666667;540
Барнаул;Барнаул;85362;2018;40.0;Алтайский Край;средняя школа;Жен;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;66;поступил сразу;10;1;1.0;3;22178;2000;17.75;6861
Барнаул;Барнаул;44679;2007;51.0;не указано;не указано;Жен;СН;нет данных;Россия;Алтайский край;0;Россия;0.0;0.0;1;60;нет данных об обучении до ВУЗа;01;1;1.0;4;16944;1981;26.4166666666667;6861
Барнаул;Барнаул;50892;2013;40.0;Алтайский Край;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;76;один год;09;0;0.0;4;16936;1993;19.75;6861
Барнаул;Барнаул;67495;2014;41.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;81;поступил сразу;09;0;0.0;3;14358;1998;15.75;6861
Камень;Камень;67616;2014;24.0;Алтайский Край;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;58;поступил сразу;07;0;0.0;4;18922;1997;17;181
Барнаул;Барнаул;82373;2017;41.0;Барнаул;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;58.845;поступил сразу;07;1;1.0;4;20088;1999;18;6861
Барнаул;Барнаул;54063;2012;51.0;не указано;не указано;Муж;ОО;нет данных;Россия;Алтайский край;0;Россия;0.0;0.0;1;59;нет данных об обучении до ВУЗа;03;1;1.0;4;15167;1991;21.3333333333333;6861
Барнаул;Барнаул;75901;2016;26.0;Алтайский Край;средняя школа;Муж;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;55;поступил сразу;09;1;1.0;3;17559;1998;17.8333333333333;6861
малое поселение;Долинка;72560;2015;24.0;Барнаул;ФГБОУ ВО;Жен;СН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;35;поступил сразу;03;0;0.0;4;20217;1995;20.25;1
Барнаул;Барнаул;68216;2014;26.0;Барнаул;Университет;Муж;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;51;свыше 10 лет;10;0;0.0;4;17037;1974;39.75;6861
малое поселение;Новообинцево;69770;2015;51.0;Алтайский Край;средняя школа;Жен;ДН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;70;поступил сразу;03;0;0.0;4;20715;1997;18.3333333333333;5
Барнаул;Барнаул;55962;2013;28.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;55;поступил сразу;09;0;0.0;4;16127;1995;17.8333333333333;6861
малое поселение;Огневка;76671;2016;34.0;Бийск;Колледж;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;66;три года;11;1;1.0;3;17670;1992;23.6666666666667;2
Горно;Горно;83137;2017;25.0;Барнаул;ФГБОУ ВО;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;35;поступил сразу;01;1;1.0;4;21179;1996;21.4166666666667;113
Бийск;Бийск;71436;2015;34.0;Барнаул;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;85;поступил сразу;09;0;0.0;4;17261;1993;21.8333333333333;540
Барнаул;Барнаул;66447;2014;25.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;75;поступил сразу;07;0;0.0;4;15507;1992;22;6861
Барнаул;Барнаул;47351;2012;27.0;не указано;не указано;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;80;нет данных об обучении до ВУЗа;05;1;1.0;4;14623;1994;18.1666666666667;6861
Усть;Усть;71503;2015;26.0;Казахстан;Колледж;Жен;СН;Английский язык;Россия;Казахстан;0;Казахстан;0.0;1.0;1;44;поступил сразу;07;0;0.0;4;19441;1996;19;156
Барнаул;Барнаул;76287;2016;28.0;Барнаул;средняя школа;Муж;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;42;поступил сразу;08;1;1.0;3;17826;1998;17.9166666666667;6861
Михайловка;Михайловка;77747;2016;26.0;Барнаул;ФГБОУ ВО;Жен;ДН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;53;поступил сразу;11;1;1.0;4;19611;1994;21.6666666666667;6
Благовещенка;Благовещенка;47048;2012;26.0;Барнаул;Колледж;Жен;ДН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;55;поступил сразу;02;1;1.0;3;12415;1992;20.4166666666667;29
Завьялово;Завьялово;57353;2013;25.0;Барнаул;ФГБОУ ВО;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;1.0;не указано;1;51;поступил сразу;03;0;0.0;3;13291;1994;19.3333333333333;18
Барнаул;Барнаул;72210;2015;24.0;Барнаул;ФГБОУ ВО;Жен;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;75;поступил сразу;02;0;0.0;4;17199;1994;21.4166666666667;6861
Барнаул;Барнаул;81258;2017;34.0;Барнаул;ФГБОУ ВО;Жен;БН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;78;свыше 10 лет;06;1;1.0;4;19974;1983;34.0833333333333;6861
малое поселение;Каракол;90224;2019;28.0;Кыргызстан;средняя школа;Муж;ОО;Английский язык;Кыргызстан;Иссык-Кульская;1;Кыргызстан;0.0;1.0;1;77;поступил сразу;05;0;0.0;3;21941;2000;19.1666666666667;2
Барнаул;Барнаул;86672;2018;40.0;Санкт-Петербург;Институт;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;75;свыше 10 лет;10;1;1.0;4;21070;1978;39.75;6861
Барнаул;Барнаул;77142;2016;41.0;Барнаул;средняя школа;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;55.575;поступил сразу;05;1;1.0;4;19679;2001;15.1666666666667;6861
Барнаул;Барнаул;77966;2016;26.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;85;поступил сразу;07;1;1.0;4;19620;1994;21.9166666666667;6861
Барнаул;Барнаул;83829;2017;25.0;Казахстан;Университет;Муж;ДН;Английский язык;Россия;не указано;0;Казахстан;0.0;1.0;1;40;поступил сразу;06;1;1.0;4;19891;1995;22.0833333333333;6861
малое поселение;Каяшкан;73744;2015;48.0;Бийск;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;52.005;поступил сразу;06;0;0.0;3;18466;1993;22.0833333333333;1
Барнаул;Барнаул;78602;2016;26.0;Барнаул;ФГБОУ ВО;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;80;поступил сразу;03;1;1.0;4;20892;1994;22.25;6861
малое поселение;Мирабилит;66401;2014;25.0;Алтайский Край;техникум;Муж;БН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;39;от трех до пяти лет;02;0;0.0;3;14271;1991;23.4166666666667;4
Рубцовск;Рубцовск;74801;2016;24.0;Алтайский Край;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;57;поступил сразу;05;1;1.0;3;17575;1998;18.1666666666667;190
Барнаул;Барнаул;57387;2013;25.0;Барнаул;ФГБОУ ВО;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;не указано;1;46;поступил сразу;10;0;0.0;3;15595;1994;18.75;6861
Риддер;Риддер;71864;2015;34.0;Казахстан;средняя школа;Муж;СН;Английский язык;Казахстан;Казахстан;1;Казахстан;0.0;1.0;1;68;поступил сразу;02;0;0.0;3;15793;1998;17.4166666666667;44
Барнаул;Барнаул;49842;2013;25.0;Барнаул;средняя школа;Жен;ЦН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;71;поступил сразу;06;0;0.0;4;16860;1995;18.0833333333333;6861
Барнаул;Барнаул;81426;2017;51.0;Барнаул;ФГБОУ ВО;Жен;БН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;67;поступил сразу;05;1;1.0;4;19916;1995;22.1666666666667;6861
Барнаул;Барнаул;78035;2016;25.0;Москва;средняя школа;Муж;СН;Французский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;60;поступил сразу;04;1;1.0;-1;18555;1993;23.25;6861
Усть;Усть;69954;2015;51.0;Барнаул;ФГБОУ ВО;Жен;ОО;нет данных;Россия;Алтайский край;0;Россия;1.0;0.0;1;76;поступил сразу;03;0;0.0;3;17314;1991;24.3333333333333;156
Тальменка;Тальменка;56751;2013;26.0;Алтайский Край;Колледж;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;1.0;не указано;1;50;поступил сразу;10;0;0.0;3;12403;1979;33.6666666666667;56
Староалейское;Староалейское;70393;2015;31.0;Алтайский Край;средняя школа;Муж;БН;Немецкий язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;79;поступил сразу;09;0;0.0;4;19928;1997;17.8333333333333;21
Бийск;Бийск;73444;2015;45.0;Бийск;Колледж;Муж;ДН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;41;один год;10;0;0.0;3;16091;1995;19.75;540
Барнаул;Барнаул;75490;2016;31.0;Барнаул;ФГБОУ ВО;Муж;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;86;поступил сразу;02;1;1.0;4;18639;1995;21.4166666666667;6861
Барнаул;Барнаул;66827;2014;26.0;Алтайский Край;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;50;поступил сразу;07;0;0.0;4;18440;1996;18;6861
Зыряновск;Зыряновск;65178;2014;51.0;Казахстан;средняя школа;Жен;ОО;Английский язык;Казахстан;Казахстан;0;Казахстан;0.0;1.0;1;77;поступил сразу;01;0;0.0;4;18194;1997;17.4166666666667;12
малое поселение;Мирабилит;56675;2013;26.0;иное;ФГБОУ ВПО;Муж;ДН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;не указано;1;41;один год;11;0;0.0;3;12404;1992;20.6666666666667;4
Новоалтайск;Новоалтайск;76179;2016;26.0;Новоалтайск;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;70;поступил сразу;06;1;1.0;4;20651;1998;18.0833333333333;398
Барнаул;Барнаул;71130;2015;30.0;Барнаул;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;61;два года;05;0;0.0;-1;20698;1995;20.1666666666667;6861
Бийск;Бийск;81049;2017;27.0;Барнаул;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;71;поступил сразу;06;1;1.0;3;19865;1995;22.0833333333333;540
Шемонаиха;Шемонаиха;49951;2013;34.0;иное;средняя школа;Муж;ОО;Английский язык;Казахстан;Казахстан;1;Казахстан;0.0;1.0;1;48;поступил сразу;05;1;1.0;4;16990;1995;18.1666666666667;44
Барнаул;Барнаул;74874;2016;35.0;Алтайский Край;средняя школа;Муж;ДН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;48;поступил сразу;03;1;1.0;4;20756;1998;18.3333333333333;6861
Новоалтайск;Новоалтайск;86494;2018;28.0;Барнаул;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;75;поступил сразу;06;1;1.0;3;21943;1996;22.0833333333333;398
Барнаул;Барнаул;77753;2016;26.0;Москва;иное;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;64;от 5 до 10 лет;12;1;1.0;4;19611;1967;48.5833333333333;6861
Барнаул;Барнаул;82116;2017;31.0;Барнаул;ФГБОУ ВО;Муж;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;83;поступил сразу;01;1;1.0;4;19811;1995;22.5;6861
Барнаул;Барнаул;55011;2012;36.0;не указано;не указано;Жен;СН;нет данных;Россия;Алтайский край;0;Россия;0.0;0.0;1;70;нет данных об обучении до ВУЗа;08;1;1.0;4;16925;1994;17.9166666666667;6861
Барнаул;Барнаул;74704;2016;51.0;Барнаул;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;81;поступил сразу;09;1;1.0;4;20663;1998;17.8333333333333;6861
Барнаул;Барнаул;71806;2015;26.0;Барнаул;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;85;поступил сразу;01;0;0.0;4;20344;1997;18.5;6861
Новоалтайск;Новоалтайск;46081;2012;35.0;иное;Училище;Жен;СН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;44;свыше 10 лет;06;0;0.0;4;16914;1976;36;398
Белокуриха;Белокуриха;68025;2013;45.0;Алтайский Край;средняя школа;Жен;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;35;поступил сразу;07;0;0.0;4;15588;1996;17;88
Бийск;Бийск;90376;2019;34.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;80;поступил сразу;11;0;0.0;-1;22075;1997;21.5833333333333;540
Барнаул;Барнаул;69717;2015;27.0;Алтайский Край;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;57;поступил сразу;07;0;0.0;3;17324;1997;18;6861
Барнаул;Барнаул;66687;2014;26.0;Алтайский Край;средняя школа;Жен;ЦН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;85;поступил сразу;09;0;0.0;4;19233;1996;17.8333333333333;6861
Барнаул;Барнаул;66195;2014;25.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;43;поступил сразу;11;0;0.0;4;18215;1995;18.6666666666667;6861
Камень;Камень;77672;2016;26.0;Барнаул;ФГБОУ ВО;Жен;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;46;один год;07;1;1.0;3;18618;1994;22;181
Барнаул;Барнаул;49746;2013;25.0;Барнаул;средняя школа;Муж;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;64;поступил сразу;08;0;0.0;4;16857;1995;17.9166666666667;6861
Повалиха;Повалиха;67424;2014;41.0;Алтайский Край;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;64.41;поступил сразу;03;0;0.0;3;17073;1998;16.3333333333333;11
Бийск;Бийск;84987;2018;51.0;Бийск;Колледж;Муж;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;72;поступил сразу;01;1;1.0;3;20246;2000;18.5;540
Семей;Семей;82697;2017;34.0;Казахстан;средняя школа;Жен;ОО;Английский язык;Казахстан;Казахстан;1;Казахстан;0.0;1.0;1;81;поступил сразу;05;1;1.0;3;19964;1999;18.1666666666667;92
Барнаул;Барнаул;65207;2014;51.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;86;поступил сразу;07;0;0.0;4;18243;1996;18;6861
малое поселение;Чемал;76983;2016;41.0;Алтайский Край;средняя школа;Жен;ДН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;0;56.25;поступил сразу;03;1;1.0;4;20087;1998;18.3333333333333;5
малое поселение;Новодраченино;65232;2014;34.0;Заринск;средняя школа;Муж;ОО;Немецкий язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;70;поступил сразу;12;0;0.0;4;18184;1996;17.5833333333333;5
Тобелер;Тобелер;67021;2014;28.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;83;поступил сразу;03;0;0.0;4;15361;1992;22.3333333333333;10
Барнаул;Барнаул;66095;2014;36.0;не указано;не указано;Жен;СН;нет данных;Россия;Алтайский край;0;Россия;0.0;0.0;1;95;нет данных об обучении до ВУЗа;02;1;1.0;4;18233;1996;18.3333333333333;6861
малое поселение;Тишинка;57068;2012;31.0;не указано;не указано;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;50;нет данных об обучении до ВУЗа;07;1;1.0;4;14933;1994;18;2
Барнаул;Барнаул;72887;2015;28.0;Барнаул;ФГБОУ ВПО;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;39;поступил сразу;02;0;0.0;4;19461;1993;22.4166666666667;6861
малое поселение;Маральи;88385;2018;26.0;Барнаул;ФГБОУ ВО;Муж;ДН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;37;поступил сразу;10;1;1.0;4;21755;1996;21.6666666666667;2
Барнаул;Барнаул;71258;2015;28.0;Барнаул;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;77;поступил сразу;07;0;0.0;3;17269;1997;18;6861
Барнаул;Барнаул;75950;2016;25.0;Алтайский Край;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;60;поступил сразу;07;1;1.0;4;20604;1998;18;6861
Барнаул;Барнаул;68537;2014;25.0;Барнаул;ФГБОУ ВО;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;36;от 5 до 10 лет;11;0;0.0;4;17133;1986;27.6666666666667;6861
